group	batch
F55A3.7_ok1829_L4_S1	F55A3.7_ok1829_L4	Batch2
F55A3.7_ok1829_L4_S2	F55A3.7_ok1829_L4	Batch3
F55A3.7_ok1829_L4_S3	F55A3.7_ok1829_L4	Batch3
N2_L4_20_S1	N2_L4_20	Batch2
N2_L4_20_S2	N2_L4_20	Batch3
N2_L4_20_S25	N2_L4_20	Batch3
N2_L4_25_S3	N2_L4_25	Batch2
N2_L4_25_S4	N2_L4_25	Batch3
N2_L4_25_S5	N2_L4_25	Batch3
air.2_or207_L4_S4	air.2_or207_L4	Batch2
air.2_or207_L4_S6	air.2_or207_L4	Batch3
air.2_or207_L4_S7	air.2_or207_L4	Batch3
ctrl_N2_L4_S17	ctrl_N2_L4	Batch3
ctrl_N2_L4_S26	ctrl_N2_L4	Batch3
ctrl_N2_L4_S9	ctrl_N2_L4	Batch3
ctrl_air.2_L4_S13	ctrl_air.2_L4	Batch3
ctrl_air.2_L4_S21	ctrl_air.2_L4	Batch3
ctrl_air.2_L4_S8	ctrl_air.2_L4	Batch3
hmg.3_tm2539_L4_S1	hmg.3_tm2539_L4	Batch1
hmg.3_tm2539_L4_S2	hmg.3_tm2539_L4	Batch1
hmg.3_tm2539_L4_S3	hmg.3_tm2539_L4	Batch1
hmg.4_N2_L4_S10	hmg.4_N2_L4	Batch3
hmg.4_N2_L4_S18	hmg.4_N2_L4	Batch3
hmg.4_N2_L4_S27	hmg.4_N2_L4	Batch3
hmg.4_air.2_L4_S14	hmg.4_air.2_L4	Batch3
hmg.4_air.2_L4_S22	hmg.4_air.2_L4	Batch3
hmg.4_air.2_L4_S30	hmg.4_air.2_L4	Batch3
isw.1_n4066_L4_S4	isw.1_n4066_L4	Batch1
isw.1_n4066_L4_S5	isw.1_n4066_L4	Batch1
isw.1_n4066_L4_S6	isw.1_n4066_L4	Batch1
spt.16_N2_L4_S11	spt.16_N2_L4	Batch3
spt.16_N2_L4_S19	spt.16_N2_L4	Batch3
spt.16_N2_L4_S28	spt.16_N2_L4	Batch3
spt.16_air.2_L4_S15	spt.16_air.2_L4	Batch3
spt.16_air.2_L4_S23	spt.16_air.2_L4	Batch3
spt.16_air.2_L4_S31	spt.16_air.2_L4	Batch3
spt.5_N2_L4_S12	spt.5_N2_L4	Batch3
spt.5_N2_L4_S20	spt.5_N2_L4	Batch3
spt.5_N2_L4_S29	spt.5_N2_L4	Batch3
spt.5_air.2_L4_S16	spt.5_air.2_L4	Batch3
spt.5_air.2_L4_S24	spt.5_air.2_L4	Batch3
spt.5_air.2_L4_S32	spt.5_air.2_L4	Batch3
